Trial_id,Probe,Target,word2vec,pcelex,tcelex,plog10,tlog10,trial_pres_id,probe_onset,probe_durat,fixa1_onset,fixa1_durat,target_onset,target_durat,target_offset,fixa2_onset,fixa2_durat,RT,KeyPress,runid
54,bell,lotus,0.123994373,39.33,1.9,1.61,0.46,43,383.9970419,1.5,385.4907651,1.5,386.9842951,1.5,387.6618261,389.980093,3,0.677531004,2,2
102,duster,tiles,0.240756458,1.84,6.48,0.45,0.87,44,393.001133,1.5,394.494848,1.5,395.9883461,1.5,397.3975711,398.9843099,3,1.409224987,2,2
46,bracelet,flea,0.109759561,3.63,1.68,0.67,0.43,45,401.9968691,1.5,403.4905779,1.5,404.9841161,1.5,405.970365,407.9798951,3,0.98624897,2,2
74,flag,lettuce,0.157581958,19.89,6.42,1.32,0.87,46,411.000953,1.5,412.4946289,1.5,413.9883871,1.5,414.9981329,416.9841311,3,1.009745836,2,2
150,submarine ,diver,0.384344888,9.83,0.89,1.03,0.28,47,419.9966691,1.5,421.4903991,1.5,422.983907,1.5,423.5859201,425.9799261,3,0.602013111,1,2
6,prune,poker,-0.00044977,1.79,5.59,0.45,0.82,48,429.000773,1.5,430.494261,1.5,431.988209,1.5,432.6037021,434.984009,3,0.615493059,2,2
159,whale,plankton,0.413829594,6.31,1.06,0.86,0.31,1,5.999542952,1.5,7.493505001,1.5,8.987181902,1.5,9.702468872,11.98276901,3,0.71528697,1,3
151,bonus,extra,0.384485322,8.99,81.4,1,1.92,2,14.99530602,1.5,16.48920488,1.5,17.98292685,1.5,18.9382329,20.97872496,3,0.955306053,1,3
155,monk,abbey,0.402448213,3.91,9.83,0.69,1.03,3,23.99957299,1.5,25.49327898,1.5,26.98679495,1.5,28.20700097,29.98276782,3,1.220206022,2,3
103,robot,wires,0.249669152,3.74,9.72,0.68,1.03,4,32.99531794,1.5,34.48903298,1.5,35.98256493,1.5,36.80279398,38.97855091,3,0.820229053,1,3
31,canyon,elf,0.081218627,8.32,0.34,0.97,0.13,5,41.99939299,1.5,43.49310184,1.5,44.98661685,1.5,45.84356093,47.98263597,3,0.856944084,2,3
19,seagull,keyboard,0.050153906,0.5,2.63,0.18,0.56,6,50.99494982,1.5,52.48884892,1.5,53.98237205,1.5,55.057338,56.97837305,3,1.074965954,2,3
147,wood,antler,0.362045895,72.4,0.39,1.87,0.14,7,59.99921489,1.5,61.49291992,1.5,62.98645782,1.5,65.42107487,65.98223901,3,2.434617043,2,3
27,roach,fat,0.066156654,6.37,86.03,0.87,1.94,8,68.99495602,1.5,70.488662,1.5,71.98239589,1.5,72.96286893,74.97815704,3,0.980473042,2,3
75,photo,profile,0.158107908,9.16,10.5,1.01,1.06,9,77.99902797,1.5,79.49275589,1.5,80.98647594,1.5,81.66065192,83.98227882,3,0.674175978,1,3
95,barber,shears,0.214867187,6.87,2.4,0.9,0.53,10,86.99476886,1.5,88.48849893,1.5,89.98227382,1.5,90.682446,92.97802091,3,0.700172186,1,3
99,salt,jellyfish,0.227924671,45.03,1.79,1.66,0.45,11,95.99879503,1.5,97.4925139,1.5,98.98601699,1.5,99.7132349,101.981878,3,0.727217913,2,3
55,rhinoceros,rug,0.129818067,1.56,11.68,0.41,1.1,12,104.9945939,1.5,106.488307,1.5,107.9818499,1.5,109.4489861,110.977649,3,1.467136145,2,3
171,business,customer,0.473906957,236.54,14.3,2.38,1.18,13,113.998673,1.5,115.492404,1.5,116.985949,1.5,118.757725,119.981714,3,1.771775961,1,3
163,cow,milk,0.43413468,22.51,104.3,1.37,2.02,14,122.9944189,1.5,124.4881279,1.5,125.9818208,1.5,127.689522,128.977612,3,1.707701206,1,3
63,washer,lily,0.148117122,1.68,6.7,0.43,0.89,15,131.9984949,1.5,133.4922118,1.5,134.9857249,1.5,135.7533379,137.981554,3,0.767612934,2,3
167,antique,museum,0.457690981,12.68,30.61,1.14,1.5,16,140.9940729,1.5,142.4879689,1.5,143.981456,1.5,144.6520829,146.977483,3,0.670626879,1,3
39,zebra,jacket,0.097116014,1.28,34.47,0.36,1.55,17,149.998323,1.5,151.492038,1.5,152.9857719,1.5,154.0178778,155.9815679,3,1.032105923,2,3
43,basketball,dessert,0.102388675,2.4,4.47,0.53,0.74,18,158.993788,1.5,160.487468,1.5,161.9815259,1.5,163.210685,164.9773159,3,1.229159117,2,3
115,coal,chimney,0.274739001,42.51,6.87,1.64,0.9,19,167.9981549,1.5,169.4918668,1.5,170.9855418,1.5,171.666446,173.981339,3,0.68090415,1,3
139,pie,crust,0.335761656,12.57,6.93,1.13,0.9,20,176.993813,1.5,178.4875989,1.5,179.9810889,1.5,180.609216,182.9769359,3,0.628127098,1,3
87,judge,gavel,0.184075897,55.2,0.67,1.75,0.22,21,185.997916,1.5,187.491441,1.5,188.98522,1.5,190.5169799,191.9810209,3,1.531759977,2,3
131,squirrel,woodland,0.316360619,3.52,12.63,0.66,1.13,22,194.9936988,1.5,196.487242,1.5,197.9811471,1.5,199.205759,200.9769459,3,1.224611998,1,3
123,shirt,lace,0.29095445,45.36,11.06,1.67,1.08,23,203.9977911,1.5,205.4915059,1.5,206.9850249,1.5,208.9525208,209.9810328,3,1.967495918,1,3
83,dinner,dog,0.176540088,91.12,71.73,1.96,1.86,24,213.001812,1.5,214.4955781,1.5,215.9891069,1.5,217.001317,218.98511,3,1.012210131,2,3
35,vault,ewe,0.086026957,3.24,1.23,0.63,0.35,25,221.997611,1.5,223.4913249,1.5,224.9850469,1.5,225.791096,227.980854,3,0.806049109,2,3
79,barn,rat,0.1661489,10.39,9.27,1.06,1.01,26,231.001683,1.5,232.4954159,1.5,233.988893,1.5,234.954869,236.9849339,3,0.965976,1,3
179,medicine,doctor,0.497584052,32.35,132.74,1.52,2.13,27,239.997164,1.5,241.491163,1.5,242.9846818,1.5,244.0146439,245.9804809,3,1.029962063,1,3
11,javelin,kettle,0.020626626,0.34,11.12,0.13,1.08,28,249.0015039,1.5,250.4951968,1.5,251.988765,1.5,252.5684319,254.9845629,3,0.579666853,2,3
119,painting,chalk,0.28346327,54.86,9.72,1.75,1.03,29,257.997257,1.5,259.4909689,1.5,260.984664,1.5,262.1741889,263.9803019,3,1.189524889,2,3
111,calculator,notebook,0.270820437,2.01,7.65,0.48,0.94,30,267.001332,1.5,268.49505,1.5,269.988539,1.5,270.663986,272.984309,3,0.675446987,1,3
127,fire,forest,0.30594848,152.79,68.1,2.19,1.84,31,275.9970779,1.5,277.4907949,1.5,278.9842939,1.5,279.574755,281.9803128,3,0.590461016,1,3
3,cottage,thigh,-0.029097307,31.01,12.68,1.51,1.14,32,285.0011508,1.5,286.4948709,1.5,287.9883749,1.5,289.087522,290.984395,3,1.099147081,2,3
